city,state,country,population,Lat,Lon,hoods_city_id,hoods_city_name
New York,NY,,8363710,40.7143528,-74.0059731,1,New York
Sydney,,AU,3908642,-33.86843911,151.2092972,2862,Sydney
Los Angeles,CA,,3833995,34.0522342,-118.2436849,2,Los Angeles
Chicago,IL,,2853114,41.8781136,-87.6297982,3,Chicago
Brooklyn,NY,,2567098,40.65,-73.95,1,New York
Toronto,,CA,2503281,43.653524,-79.3839069,2659,Toronto
Queens,NY,,2306712,40.7282239,-73.7948516,1,New York
Houston,TX,,2242193,29.7628844,-95.3830615,4,Houston
Brisbane,,AU,1874724,-27.4722016,153.0275345,2928,Brisbane
Perth,,AU,1659000,-31.9522222,115.8588889,2960,Perth
Montreal,,CA,1649519,45.50869998,-73.55467915,2752,Montréal
Manhattan,NY,,1629054,40.71432027,-74.00616085,1,New York
Philadelphia,PA,,1540351,39.952335,-75.163789,5,Philadelphia
Phoenix,AZ,,1445632,33.44339787,-112.0674133,6,Phoenix
Bronx,NY,,1397287,40.8501002,-73.8662464,1,New York
Auckland,,NZ,1333300,-36.8484597,174.7633315,,
San Antonio,TX,,1328984,29.42409387,-98.49362284,7,San Antonio
Adelaide,,AU,1289865,-34.9286212,138.5999594,2949,Adelaide
Dallas,TX,,1279910,32.802955,-96.769923,9,Dallas
San Diego,CA,,1279329,32.7153292,-117.1572551,8,San Diego
Calgary,,CA,988193,51.045,-114.0572222,2569,Calgary
San Jose,CA,,945942,37.33965866,-121.8941616,10,San Jose
Ottawa,,CA,917550,45.42158608,-75.69707508,2613,Ottawa
Indianapolis,IN,,819398,39.77073192,-86.15689971,12,Indianapolis
San Francisco,CA,,808976,37.7749295,-122.4194155,13,San Francisco
Austin,TX,,757688,30.267153,-97.7430608,14,Austin
Columbus,OH,,754885,39.9611755,-82.9987942,15,Columbus
Louisville,KY,,741096,38.2527321,-85.75914235,27,Louisville-Jefferson
Edmonton,,CA,730372,53.543564,-113.490452,2595,Edmonton
Fort Worth,TX,,727577,32.725409,-97.32132167,16,Fort Worth
Mississauga,,CA,713443,43.58567976,-79.64195251,2647,Mississauga
Baltimore,MD,,636919,39.2903848,-76.6121893,21,Baltimore
Winnipeg,,CA,633451,49.886083,-97.152921,2555,Winnipeg
Boston,MA,,620535,42.3584308,-71.0597732,22,Boston
Milwaukee,WI,,604477,43.0389025,-87.9064736,28,Milwaukee
Washington,DC,,599657,38.8951118,-77.0363658,24,Washington D.C.
Denver,CO,,598707,39.7391536,-104.9847034,26,Denver
Seattle,WA,,598541,47.6062095,-122.3320708,23,Seattle
Vancouver,,CA,578000,49.261226,-123.1139268,2538,Vancouver
Las Vegas,NV,,558383,36.22741485,-115.2626701,30,Las Vegas
Paradise,NV,,223167,36.08070049,-115.1368388,91,Paradise
Portland,OR,,557706,45.5234515,-122.6762071,29,Portland
Albuquerque,NM,,545852,35.0845348,-106.6512923,32,Albuquerque
Brampton,,CA,523911,43.68376352,-79.75868225,2648,Brampton
Quebec City,,CA,516622,46.80313572,-71.24331098,2714,Québec
Hamilton,,CA,504559,43.243603,-79.889075,2630,Hamilton
Staten Island,NY,,491730,40.5834379,-74.1495875,1,New York
Kansas City,MO,,480129,39.0997265,-94.5785667,37,Kansas City
Surrey,,CA,468251,49.10309505,-122.8271484,2506,Surrey
Sacramento,CA,,463794,38.5815719,-121.4943996,35,Sacramento
Miami,FL,,446986,25.7889689,-80.2264393,44,Miami
Mesa,AZ,,439041,33.41379955,-111.8315506,38,Mesa
Cleveland,OH,,433748,41.4994954,-81.6954088,45,Cleveland
Atlanta,GA,,419590,33.74837927,-84.38730269,40,Atlanta
Colorado Springs,CO,,416427,38.83435911,-104.8253632,41,Colorado Springs
Raleigh,NC,,405791,35.772096,-78.6386145,43,Raleigh
Oakland,CA,,390724,37.8034362,-122.2723797,47,Oakland
Wellington,,NZ,389700,-41.2924945,174.7732353,,
Minneapolis,MN,,382605,44.9799654,-93.2638361,48,Minneapolis
Honolulu,HI,,374676,21.3069444,-157.8583333,53,Honolulu
Halifax,,CA,372679,44.648881,-63.575312,2754,Halifax
Santa Ana,CA,,355662,33.7455731,-117.8678338,57,Santa Ana
Canberra,,AU,355596,-35.28998281,149.1270447,2978,Canberra
St Louis,MO,,354361,38.646991,-90.224967,58,St. Louis
Bakersfield,CA,,348382,35.3732746,-119.0187125,51,Bakersfield
Tampa,FL,,335709,27.9502,-82.45664116,55,Tampa
Cincinnati,OH,,333012,39.10319313,-84.51222345,62,Cincinnati
Aurora,CO,,326266,39.72918541,-104.831811,56,Aurora
Pittsburgh,PA,,310037,40.4406248,-79.9958864,59,Pittsburgh
Corpus Christi,TX,,305215,27.79535069,-97.39860535,60,Corpus Christi
Central Coast,,AU,297713,-33.35864265,151.4294802,2864,
St Paul,MN,,287151,44.9541667,-93.1138889,67,St. Paul
Buffalo,NY,,270919,42.8864468,-78.8783689,70,Buffalo
Durham,NC,,262715,35.9940329,-78.898619,86,Durham
St Petersburg,FL,,248232,27.77290371,-82.64034332,76,St. Petersburg
Chula Vista,CA,,243916,32.6400541,-117.0841955,77,Chula Vista
Orlando,FL,,238300,28.53640521,-81.37744904,79,Orlando
Madison,WI,,233209,43.0730517,-89.4012302,82,Madison
Longueuil,,CA,231409,45.53491937,-73.51039051,2683,Longueuil
Glendale,AZ,,226721,33.53636773,-112.1817398,88,Glendale
North Las Vegas,NV,,224387,36.1988592,-115.1175013,94,North Las Vegas
Burnaby,,CA,223218,49.22746331,-123.002243,2507,Burnaby
Hialeah,FL,,218896,25.8575963,-80.2781057,90,Hialeah
Scottsdale,AZ,,217385,33.49056814,-111.9228745,93,Scottsdale
Irvine,CA,,212793,33.6839473,-117.7946942,97,Irvine
Birmingham,AL,,212786,33.52051769,-86.80296207,98,Birmingham
Rochester,NY,,211394,43.16103391,-77.61080388,99,Rochester
Modesto,CA,,211156,37.6390972,-120.9968782,108,Modesto
Arlington ,VA,,209300,38.8799697,-77.1067698,103,Arlington
Spokane,WA,,208916,47.6587802,-117.4260466,101,Spokane
Gilbert,AZ,,208453,33.35015622,-111.7882919,102,Gilbert
Kitchener,,CA,204668,43.434311,-80.477747,2610,Kitchener
Stirling,,AU,202000,-31.88121865,115.8096919,2960,Perth
Little Rock,AR,,192913,34.74630459,-92.28877941,119,Little Rock
Glendale,CA,,191719,34.14254332,-118.2542596,121,Glendale
Richmond,,CA,190473,49.16464475,-123.1388855,2517,Richmond
Richmond Hill,,CA,185541,43.87742143,-79.43458557,2809,Richmond Hill
Salt Lake City,UT,,181743,40.76083619,-111.8908489,127,Salt Lake City
Reno,NV,,180480,39.5295998,-119.8132877,89,Reno
Providence,RI,,177627,41.82395712,-71.41284503,134,Providence
Huntsville,AL,,176645,34.7303688,-86.5861037,131,Huntsville
Oceanside,CA,,169684,33.1958696,-117.3794834,143,Oceanside
Fort Lauderdale,FL,,165694,26.12234612,-80.14036064,144,Fort Lauderdale
