city,description,summary,transit_score,ws_link,nearby_routes,bus,rail,other,censusgeo,GEO_ID,Place_Type,state,Lat,Lon
Wheeling,Some Transit,"2 nearby routes: 1 bus, 1 rail, 0 other",25,https://www.walkscore.com/score/loc/lat=42.1387/lng=-87.9292/?utm_source=gmail.com&utm_medium=ts_api&utm_campaign=ts_api,2,1,1,0,"Wheeling village, Illinois: Summary level: 160, state:17> place:81087",1600000US1781087,village,IL,42.13866786,-87.92922617
Glen Ellyn,Some Transit,"2 nearby routes: 1 bus, 1 rail, 0 other",32,https://www.walkscore.com/score/loc/lat=41.8763/lng=-88.0676/?utm_source=gmail.com&utm_medium=ts_api&utm_campaign=ts_api,2,1,1,0,"Glen Ellyn village, Illinois: Summary level: 160, state:17> place:29756",1600000US1729756,village,IL,41.87628861,-88.06760788
Normal,Some Transit,"12 nearby routes: 12 bus, 0 rail, 0 other",49,https://www.walkscore.com/score/loc/lat=40.5129/lng=-88.9905/?utm_source=gmail.com&utm_medium=ts_api&utm_campaign=ts_api,12,12,0,0,"Normal town, Illinois: Summary level: 160, state:17> place:53234",1600000US1753234,town,IL,40.51291008,-88.99045944
DeKalb,Some Transit,"7 nearby routes: 7 bus, 0 rail, 0 other",30,https://www.walkscore.com/score/loc/lat=41.9284/lng=-88.7512/?utm_source=gmail.com&utm_medium=ts_api&utm_campaign=ts_api,7,7,0,0,"DeKalb city, Illinois: Summary level: 160, state:17> place:19161",1600000US1719161,city,IL,41.92836779,-88.75117838
Elgin,Some Transit,"13 nearby routes: 12 bus, 1 rail, 0 other",49,https://www.walkscore.com/score/loc/lat=42.0344/lng=-88.2796/?utm_source=gmail.com&utm_medium=ts_api&utm_campaign=ts_api,13,12,1,0,"Elgin city, Illinois: Summary level: 160, state:17> place:23074",1600000US1723074,city,IL,42.03439279,-88.27960968
Bloomington,Some Transit,"10 nearby routes: 10 bus, 0 rail, 0 other",48,https://www.walkscore.com/score/loc/lat=40.4829/lng=-88.9930/?utm_source=gmail.com&utm_medium=ts_api&utm_campaign=ts_api,10,10,0,0,"Bloomington city, Illinois: Summary level: 160, state:17> place:06613",1600000US1706613,city,IL,40.48287854,-88.99303436
Aurora,Some Transit,"5 nearby routes: 4 bus, 1 rail, 0 other",42,https://www.walkscore.com/score/loc/lat=41.7574/lng=-88.3146/?utm_source=gmail.com&utm_medium=ts_api&utm_campaign=ts_api,5,4,1,0,"Aurora city, Illinois: Summary level: 160, state:17> place:03012",1600000US1703012,city,IL,41.75737126,-88.31462859999999
Calumet City,Some Transit,"4 nearby routes: 4 bus, 0 rail, 0 other",33,https://www.walkscore.com/score/loc/lat=41.6144/lng=-87.5323/?utm_source=gmail.com&utm_medium=ts_api&utm_campaign=ts_api,4,4,0,0,"Calumet City city, Illinois: Summary level: 160, state:17> place:10487",1600000US1710487,city,IL,41.61436928,-87.53234506
Melrose Park,Some Transit,"4 nearby routes: 4 bus, 0 rail, 0 other",38,https://www.walkscore.com/score/loc/lat=41.9003/lng=-87.8584/?utm_source=gmail.com&utm_medium=ts_api&utm_campaign=ts_api,4,4,0,0,"Melrose Park village, Illinois: Summary level: 160, state:17> place:48242",1600000US1748242,village,IL,41.90033747,-87.85842717
Niles,Some Transit,"8 nearby routes: 8 bus, 0 rail, 0 other",46,https://www.walkscore.com/score/loc/lat=42.0215/lng=-87.8053/?utm_source=gmail.com&utm_medium=ts_api&utm_campaign=ts_api,8,8,0,0,"Niles village, Illinois: Summary level: 160, state:17> place:53000",1600000US1753000,village,IL,42.02145197,-87.80528665
